order_id,date,region,channel,product,units,unit_price,discount_pct
A001,2026-01-03,North,Web,Notebook,2,12.50,0.10
A002,2026-01-04,South,Store,Pen,10,1.20,0
A003,2026-01-05,East,Web,Backpack,1,45.00,0.05
A004,2026-01-06,West,Store,Notebook,3,12.50,0
A005,2026-01-07,North,Web,Pen,20,1.20,0.05
A006,2026-01-08,South,Web,Backpack,2,45.00,0.10
A007,2026-02-02,East,Store,Notebook,4,12.50,0
A008,2026-02-03,West,Web,Pen,30,1.20,0
A009,2026-02-04,North,Store,Backpack,1,45.00,0
A010,2026-02-05,South,Store,Notebook,5,12.50,0.10
A011,2026-02-06,East,Web,Pen,25,1.20,0.05
A012,2026-02-07,West,Store,Backpack,2,45.00,0.05
A013,2026-03-01,North,Web,Notebook,6,12.50,0
A014,2026-03-02,South,Web,Pen,40,1.20,0
A015,2026-03-03,East,Store,Backpack,2,45.00,0.10
A016,2026-03-04,West,Web,Notebook,1,12.50,0
A017,2026-03-05,,Web,Notebook,2,12.50,0
A018,2026-03-06,North,Store,Pen,-2,1.20,0
A019,2026-13-01,East,Web,Backpack,1,45.00,0
A010,2026-03-07,South,Web,Notebook,1,12.50,0
